rank,university,位置,score,logo_path,logo_url
51-100,日内瓦大学,瑞士,,logos_cn/日内瓦大学-m.jpg,https://www.qschina.cn/sites/default/files/university-of-geneva_221_small.jpg
51-100,格拉斯哥大学,英国,,logos_cn/格拉斯哥大学-m.jpg,https://www.qschina.cn/sites/default/files/university-of-glasgow_592560cf2aeae70239af4b6c_small.jpg
51-100,格罗宁根大学,荷兰,,logos_cn/格罗宁根大学-m.jpg,https://www.qschina.cn/sites/default/files/university-of-groningen_243_small.jpg
51-100,香港大学（HKU）,香港,,logos_cn/香港大学（HKU）-m.jpg,https://www.qschina.cn/sites/default/files/the-university-of-hong-kong_268_small.jpg
51-100,利兹大学,英国,,logos_cn/利兹大学-m.jpg,https://www.qschina.cn/sites/default/files/university-of-leeds_338_small.jpg
51-100,北卡罗来纳大学教堂山,美国,,logos_cn/北卡罗来纳大学教堂山-m.jpg,https://www.qschina.cn/sites/default/files/university-of-north-carolina-chapel-hill_424_small.jpg
51-100,奥塔哥大学,新西兰,,logos_cn/奥塔哥大学-m.jpg,https://www.qschina.cn/sites/default/files/university-of-otago_474_small.jpg
51-100,德克萨斯大学奥斯汀分校,美国,,logos_cn/德克萨斯大学奥斯汀分校-m.jpg,https://www.qschina.cn/sites/default/files/university-of-texas-at-austin_604_small.jpg
51-100,阿姆斯特丹大学,荷兰,,logos_cn/阿姆斯特丹大学-m.jpg,https://www.qschina.cn/sites/default/files/vrije-universiteit-amsterdam_658_small.jpg
51-100,华盛顿大学在圣路易斯,美国,,logos_cn/华盛顿大学在圣路易斯-m.jpg,https://www.qschina.cn/sites/default/files/washington-university-in-st.-louis_668_small.jpg
51-100,韦仕敦大学（西安大略大学）,加拿大,,logos_cn/韦仕敦大学（西安大略大学）-m.jpg,https://www.qschina.cn/sites/default/files/the-university-of-western-ontario_674_small.jpg
51-100,武汉大学,中国(大陆),,logos_cn/武汉大学-m.jpg,https://www.qschina.cn/sites/default/files/wuhan-university_889_small.jpg
51-100,延世大学,韩国,,logos_cn/延世大学-m.jpg,https://www.qschina.cn/sites/default/files/yonsei-university_688_small.jpg
101-150,迪肯大学,澳大利亚,,logos_cn/迪肯大学-m.jpg,https://www.qschina.cn/sites/default/files/deakin-university_592560cf2aeae70239af4a86_small.jpg
101-150,杜克大学,美国,,logos_cn/杜克大学-m.jpg,https://www.qschina.cn/sites/default/files/duke-university_168_small.jpg
101-150,香港浸会大学,香港,,logos_cn/香港浸会大学-m.jpg,https://www.qschina.cn/sites/default/files/hong-kong-baptist-university_893_small.jpg
101-150,格拉茨大学,奥地利,,logos_cn/格拉茨大学-m.jpg,https://www.qschina.cn/sites/default/files/karl-franzens-universitaet-graz_236_small.jpg
101-150,庆应义塾大学,日本,,logos_cn/庆应义塾大学-m.jpg,https://www.qschina.cn/sites/default/files/keio-university_592560cf2aeae70239af4bbe_small.jpg
