rank,university,位置,score,logo_path,logo_url
51-100,哥本哈根大学,丹麦,,logos_cn/哥本哈根大学-m.jpg,https://www.qschina.cn/sites/default/files/university-of-copenhagen_141_small.jpg
51-100,日内瓦大学,瑞士,,logos_cn/日内瓦大学-m.jpg,https://www.qschina.cn/sites/default/files/university-of-geneva_221_small.jpg
51-100,格拉斯哥大学,英国,,logos_cn/格拉斯哥大学-m.jpg,https://www.qschina.cn/sites/default/files/university-of-glasgow_592560cf2aeae70239af4b6c_small.jpg
51-100,赫尔辛基大学,芬兰,,logos_cn/赫尔辛基大学-m.jpg,https://www.qschina.cn/sites/default/files/university-of-helsinki_260_small.jpg
51-100,利兹大学,英国,,logos_cn/利兹大学-m.jpg,https://www.qschina.cn/sites/default/files/university-of-leeds_338_small.jpg
51-100,明尼苏达大学,美国,,logos_cn/明尼苏达大学-m.jpg,https://www.qschina.cn/sites/default/files/university-of-minnesota_408_small.jpg
51-100,南加州大学,美国,,logos_cn/南加州大学-m.jpg,https://www.qschina.cn/sites/default/files/university-of-southern-california_569_small.jpg
51-100,弗吉尼亚大学,美国,,logos_cn/弗吉尼亚大学-m.jpg,https://www.qschina.cn/sites/default/files/university-of-virginia_656_small.jpg
51-100,华盛顿大学,美国,,logos_cn/华盛顿大学-m.jpg,https://www.qschina.cn/sites/default/files/university-of-washington_592560cf2aeae70239af4d1e_small.jpg
51-100,苏黎世大学,瑞士,,logos_cn/苏黎世大学-m.jpg,https://www.qschina.cn/sites/default/files/university-of-zurich_693_small.jpg
51-100,乌普萨拉大学,瑞典,,logos_cn/乌普萨拉大学-m.jpg,https://www.qschina.cn/sites/default/files/uppsala-university_643_small.jpg
51-100,乌得勒支大学,荷兰,,logos_cn/乌得勒支大学-m.jpg,https://www.qschina.cn/sites/default/files/utrecht-university_646_small.jpg
101-150,奥胡斯大学,丹麦,,logos_cn/奥胡斯大学-m.jpg,https://www.qschina.cn/sites/default/files/aarhus-university_592560cf2aeae70239af4a8a_small.jpg
101-150,纽约市立大学,美国,,logos_cn/纽约市立大学-m.jpg,https://www.qschina.cn/sites/default/files/city-university-of-new-york_149_small.jpg
101-150,Colegio de México,墨西哥,,logos_cn/Colegio de México-m.jpg,https://www.qschina.cn/sites/default/files/el-colegio-de-mxico-a.c._592560cf2aeae70239af547b_small.jpg
101-150,乔治华盛顿大学,美国,,logos_cn/乔治华盛顿大学-m.jpg,https://www.qschina.cn/sites/default/files/george-washington-university_223_small.jpg
101-150,印第安纳大学伯明顿分校,美国,,logos_cn/印第安纳大学伯明顿分校-m.jpg,https://www.qschina.cn/sites/default/files/indiana-university-bloomington_289_small.jpg
101-150,尼赫鲁大学,印度,,logos_cn/尼赫鲁大学-m.jpg,https://www.qschina.cn/sites/default/files/jawaharlal-nehru-university_302_small.jpg
101-150,庆应义塾大学,日本,,logos_cn/庆应义塾大学-m.jpg,https://www.qschina.cn/sites/default/files/keio-university_592560cf2aeae70239af4bbe_small.jpg
101-150,高丽大学,韩国,,logos_cn/高丽大学-m.jpg,https://www.qschina.cn/sites/default/files/korea-university_325_small.jpg
101-150,隆德大学,瑞典,,logos_cn/隆德大学-m.jpg,https://www.qschina.cn/sites/default/files/lund-university_371_small.jpg
101-150,麦克马斯特大学,加拿大,,logos_cn/麦克马斯特大学-m.jpg,https://www.qschina.cn/sites/default/files/mcmaster-university_397_small.jpg
101-150,密歇根州立大学,美国,,logos_cn/密歇根州立大学-m.jpg,https://www.qschina.cn/sites/default/files/michigan-state-university_402_small.jpg
101-150,台湾大学,台湾,,logos_cn/台湾大学-m.jpg,https://www.qschina.cn/sites/default/files/national-taiwan-university-ntu_592560cf2aeae70239af4c3c_small.jpg
101-150,俄亥俄州立大学,美国,,logos_cn/俄亥俄州立大学-m.jpg,https://www.qschina.cn/sites/default/files/the-ohio-state-university_465_small.jpg
101-150,女王大学,加拿大,,logos_cn/女王大学-m.jpg,https://www.qschina.cn/sites/default/files/queens-university-at-kingston_513_small.jpg
101-150,伦敦皇家霍洛威大学,英国,,logos_cn/伦敦皇家霍洛威大学-m.jpg,https://www.qschina.cn/sites/default/files/royal-holloway-university-of-london_534_small.jpg
101-150,圣彼得堡州立大学,俄罗斯,,logos_cn/圣彼得堡州立大学-m.jpg,https://www.qschina.cn/sites/default/files/saint-petersburg-state-university_592560cf2aeae70239af4cc0_small.jpg
101-150,斯德哥尔摩大学,瑞典,,logos_cn/斯德哥尔摩大学-m.jpg,https://www.qschina.cn/sites/default/files/stockholm-university_577_small.jpg
101-150,奥克兰大学,新西兰,,logos_cn/奥克兰大学-m.jpg,https://www.qschina.cn/sites/default/files/the-university-of-auckland_592560cf2aeae70239af4aa8_small.jpg
